id,City,Country,Date,Humidity,Lat,Lng,Cloudiness,Max Temp,Wind Speed
2126199,Cherskiy,RU,1661259749,73,68.75,161.3,100,56.07,7.72
3424607,Tasiilaq,GL,1661259751,69,65.6145,-37.6368,92,46.56,5.64
3558315,Gibara,CU,1661259752,70,21.1097,-76.1317,64,83.66,10.18
2110227,Butaritari,KI,1661259753,69,3.0707,172.7902,100,82.17,19.08
6088469,Nipawin,CA,1661259754,83,53.3668,-104.0009,0,55.44,6.91
3981432,Todos Santos,MX,1661259756,93,23.45,-110.2167,96,78.3,3.49
2025241,Churapcha,RU,1661259757,84,62.0025,132.4325,100,46.4,2.44
4030556,Rikitea,PF,1661259758,69,-23.1203,-134.9692,7,70.09,10.78
556268,Ostrovnoy,RU,1661259759,49,68.0531,39.5131,7,64.18,17.05
4032243,Vaini,TO,1661259761,75,-21.2,-175.2,0,72.23,8.68
3418910,Upernavik,GL,1661259762,90,72.7868,-56.1549,100,39.56,6.17
935214,Saint-Pierre,RE,1661259763,72,-21.3393,55.4781,0,74.88,25.32
546105,Nikolskoye,RU,1661259764,32,59.7035,30.7861,83,82.29,6.04
1015776,Bredasdorp,ZA,1661259766,30,-34.5322,20.0403,0,77.76,5.23
2315417,Inongo,CD,1661259767,72,-1.95,18.2667,56,73.4,1.81
3366880,Hermanus,ZA,1661259768,50,-34.4187,19.2345,0,71.74,3.91
964432,Port Alfred,ZA,1661259770,74,-33.5906,26.891,100,71.19,5.99
3985710,Cabo San Lucas,MX,1661259503,66,22.8909,-109.9124,75,83.52,10.36
5044290,Saint Anthony,US,1661259589,92,45.0205,-93.218,40,65.97,0.0
3874787,Punta Arenas,CL,1661259753,65,-53.15,-70.9167,99,41.11,21.7
6201424,Mataura,NZ,1661259775,89,-46.1927,168.8643,51,52.48,4.21
2469252,Menzel Salem,TN,1661259776,29,35.8567,8.4765,1,86.18,15.73
3831208,Qaanaaq,GL,1661259777,58,77.484,-69.3632,1,33.28,4.76
5866583,Saint Paul Harbor,US,1661259779,88,57.79,-152.4072,100,54.91,13.8
1490256,Talnakh,RU,1661259780,90,69.4865,88.3972,100,51.6,6.93
3461733,Guiratinga,BR,1661259781,24,-16.3494,-53.7583,0,83.77,12.66
4020109,Atuona,PF,1661259783,72,-9.8,-139.0333,90,75.81,13.18
2409914,Bonthe,SL,1661259784,74,7.5264,-12.505,100,81.3,12.37
2156643,Mount Gambier,AU,1661259490,92,-37.8333,140.7667,9,43.75,5.88
3369157,Cape Town,ZA,1661259605,32,-33.9258,18.4232,0,81.1,5.99
2028164,Deputatsky,RU,1661259787,93,69.3,139.9,100,39.74,4.43
1283285,Jumla,NP,1661259789,91,29.2747,82.1838,100,65.08,3.6
2138555,Poum,NC,1661259790,76,-20.2333,164.0167,13,74.88,19.33
5116642,Erie,US,1661259665,91,42.7667,-78.6664,100,69.22,11.01
1261580,Nayāgarh,IN,1661259792,79,20.1333,85.1,100,81.68,2.71
3374210,São Filipe,CV,1661259794,80,14.8961,-24.4956,51,80.02,4.54
1786855,Yatou,CN,1661259795,70,37.15,122.3833,7,70.72,15.55
5546220,Saint George,US,1661259509,31,37.1041,-113.5841,5,80.13,1.88
5855927,Hilo,US,1661259801,100,19.7297,-155.09,0,75.27,1.99
2074865,Carnarvon,AU,1661259802,38,-24.8667,113.6333,42,73.13,11.9
986717,Kruisfontein,ZA,1661259804,26,-34.0033,24.7314,13,77.88,11.88
1605754,Taphan Hin,TH,1661259805,74,16.2209,100.4198,85,83.37,4.52
2404036,Seidu,SL,1661259807,70,9.0167,-10.6,90,80.22,4.18
3387423,Sítio Novo do Tocantins,BR,1661259809,26,-5.5183,-47.4611,87,93.11,10.04
2729907,Longyearbyen,SJ,1661259793,65,78.2186,15.6401,40,42.64,10.36
5880054,Barrow,US,1661259811,96,71.2906,-156.7887,100,35.15,22.21
172515,Abu Samrah,SY,1661259812,27,35.3029,37.1841,0,93.81,17.49
4034551,Faanui,PF,1661259813,77,-16.4833,-151.75,10,77.07,17.98
2075265,Busselton,AU,1661259815,79,-33.65,115.3333,89,51.31,10.25
3833367,Ushuaia,AR,1661259651,83,-54.8,-68.3,100,36.23,9.64
2136825,Isangel,VU,1661259817,73,-19.55,169.2667,13,71.22,9.1
3430863,Mar del Plata,AR,1661259818,88,-38.0023,-57.5575,5,53.1,13.0
5106841,Albany,US,1661259617,87,42.6001,-73.9662,78,71.94,1.01
2120400,Tungor,RU,1661259822,98,53.3808,142.9564,100,53.29,15.03
1819729,Hong Kong,HK,1661259800,78,22.2855,114.1577,90,92.17,3.0
3929611,San Jerónimo,PE,1661259824,65,-11.9472,-75.2829,10,48.67,0.22
2022773,Khandyga,RU,1661259825,82,62.6667,135.6,100,45.88,1.05
3393471,Oriximiná,BR,1661259826,68,-1.7656,-55.8661,100,80.46,1.45
3347019,Mossamedes,AO,1661259828,69,-15.1961,12.1522,16,70.43,15.21
6165406,Thompson,CA,1661259829,76,55.7435,-97.8558,8,54.91,9.78
2122605,Okhotsk,RU,1661259830,93,59.3833,143.3,99,52.27,6.04
5882953,Aklavik,CA,1661259832,65,68.2191,-135.0107,100,44.31,10.09
1006984,East London,ZA,1661259634,60,-33.0153,27.9116,86,71.35,22.75
2324433,Abonnema,NG,1661259834,60,4.7084,6.7931,99,84.56,12.8
2163355,Hobart,AU,1661259570,77,-42.8794,147.3294,20,44.46,12.66
2276492,Harper,LR,1661259836,77,4.375,-7.7169,100,79.74,11.72
3115824,Muros,ES,1661259837,54,42.7762,-9.0603,98,86.85,12.62
218680,Boende,CD,1661259839,51,-0.2167,20.8667,94,85.87,5.23
5379439,Ontario,US,1661259657,79,34.0633,-117.6509,0,82.99,3.44
3893629,Coquimbo,CL,1661259841,83,-29.9533,-71.3436,1,55.31,1.28
3883457,Lebu,CL,1661259842,88,-37.6167,-73.65,100,51.37,4.9
5931800,Cranbrook,CA,1661259698,89,49.4999,-115.7688,5,54.52,1.83
2015306,Tiksi,RU,1661259845,83,71.6872,128.8694,100,40.14,4.74
2121385,Severo-Kuril'sk,RU,1661259846,96,50.6789,156.125,94,59.52,19.46
2206939,Bluff,NZ,1661259847,72,-46.6,168.3333,82,52.81,17.67
2184772,Te Karaka,NZ,1661259848,93,-38.4654,177.8679,2,45.7,3.15
2112309,Katsuura,JP,1661259850,94,35.1333,140.3,79,80.46,12.06
107304,Buraidah,SA,1661259851,9,26.326,43.975,0,105.64,7.47
2126123,Chokurdakh,RU,1661259852,85,70.6333,147.9167,100,44.82,12.86
933000,Tonota,BW,1661259854,17,-21.4833,27.4833,0,75.79,13.47
2208248,Kaitangata,NZ,1661259855,80,-46.2817,169.8464,100,41.54,4.38
5848280,Kapaa,US,1661259856,92,22.0752,-159.319,40,75.18,6.91
934479,Grand Gaube,MU,1661259857,63,-20.0064,57.6608,6,74.37,10.0
5962442,Goderich,CA,1661259859,76,43.7501,-81.7165,0,70.92,11.41
4035715,Avarua,CK,1661259860,88,-21.2078,-159.775,20,73.45,12.66
3471451,Arraial do Cabo,BR,1661259862,83,-22.9661,-42.0278,75,69.66,5.75
933995,Souillac,MU,1661259732,64,-20.5167,57.5167,20,73.78,10.36
2017155,Saskylakh,RU,1661259865,93,71.9167,114.0833,100,44.49,5.41
3628473,San Cristobal,VE,1661259866,83,7.7669,-72.225,100,68.38,4.0
5122534,Jamestown,US,1661259845,71,42.097,-79.2353,100,69.03,8.05
1735106,George Town,MY,1661259551,89,5.4112,100.3354,40,81.9,3.44
5847411,Kahului,US,1661259818,93,20.8947,-156.47,23,75.85,1.99
4031742,Egvekinot,RU,1661259875,68,66.3167,-179.1667,11,41.5,1.97
1651103,Atambua,ID,1661259876,84,-9.1061,124.8925,16,70.18,6.76
3383494,Moengo,SR,1661259877,89,5.6167,-54.4,69,78.12,3.49
3833062,Venado Tuerto,AR,1661259878,62,-33.7456,-61.9688,0,52.77,9.37
4946620,Palmer,US,1661259880,85,42.1584,-72.3287,75,71.78,3.44
1501429,Kuminskiy,RU,1661259881,74,58.6667,66.5667,89,71.49,3.15
2090021,Namatanai,PG,1661259882,74,-3.6667,152.4333,5,78.33,7.29
2082539,Merauke,ID,1661259884,84,-8.4667,140.3333,35,77.23,14.05
3698359,Chicama,PE,1661259885,79,-7.8447,-79.1469,77,57.74,3.49
3372707,Ribeira Grande,PT,1661259886,73,38.5167,-28.7,40,75.6,8.05
2022572,Khatanga,RU,1661259887,60,71.9667,102.5,100,45.75,8.55
1282256,Hithadhoo,MV,1661259889,74,-0.6,73.0833,99,82.26,15.39
5557293,Sitka,US,1661259890,82,57.0531,-135.33,100,60.69,4.61
4031574,Provideniya,RU,1661259891,82,64.3833,-173.3,12,46.85,2.95
1853140,Sakata,JP,1661259892,92,38.9167,139.855,92,74.79,9.73
5850554,Makakilo City,US,1661259696,87,21.3469,-158.0858,100,73.98,0.0
6170031,Tuktoyaktuk,CA,1661259895,69,69.4541,-133.0374,100,42.46,18.21
4033557,Tautira,PF,1661259677,78,-17.7333,-149.15,75,75.74,17.63
3573374,The Valley,AI,1661259897,83,18.217,-63.0578,40,85.82,13.8
2649089,Fraserburgh,GB,1661259898,80,57.6874,-2.0184,82,70.65,18.5
3175096,Laas,IT,1661259906,32,46.6166,10.7002,0,83.7,4.68
3576994,Cockburn Town,TC,1661259907,75,21.4612,-71.1419,100,82.18,11.9
3877348,Panguipulli,CL,1661259908,99,-39.6333,-72.3333,100,47.1,2.48
1808106,Hongjiang,CN,1661259910,64,27.11,109.9956,100,86.52,3.47
64814,Bandarbeyla,SO,1661259911,71,9.4942,50.8122,17,80.6,34.11
6185377,Yellowknife,CA,1661259912,65,62.456,-114.3525,63,46.56,8.99
